,index,Tahun,Comments,preprocessed,tokenize_text,label,score
570,687,2023,Mirip pak gnjar,gnjar,['gnjar'],netral,0
571,688,2023,Ka richie betulan ga tuh yg kemarin ikutan take me out indonesia?    ,kak richie betul tuh kemarin ikut take me out indonesia,"['kak', 'richie', 'betul', 'tuh', 'kemarin', 'ikut', 'take', 'me', 'out', 'indonesia']",negatif,-5
572,690,2023,Da ada aja,dah,['dah'],negatif,-3
573,692,2023,dihh malah jdi keren,dih keren,"['dih', 'keren']",netral,0
574,693,2023,aku gear lima,gear,['gear'],netral,0
575,694,2023,KURANG PUTIH !!!!,putih,['putih'],negatif,-4
576,695,2023,Keren Bangğ??ğ??ğ??ğ??¥ğ??¥ğ??¥,keren bang jempol ke atas jempol ke atas jempol ke atas api api api,"['keren', 'bang', 'jempol', 'ke', 'atas', 'jempol', 'ke', 'atas', 'jempol', 'ke', 'atas', 'api', 'api', 'api']",positif,6
577,696,2023,W mau rambut d putihin jg nick biar smsan..,gue rambut putihin nick biar smsan,"['gue', 'rambut', 'putihin', 'nick', 'biar', 'smsan']",netral,0
578,697,2023,Bg gk minta lebih moga2 dpt lowongan pekerjaan biar gk ddk dimalaysia Bismillahirrahmanirrahim,bang moga lowong kerja biar ddk dimalaysia bismillahirrahmanirrahim,"['bang', 'moga', 'lowong', 'kerja', 'biar', 'ddk', 'dimalaysia', 'bismillahirrahmanirrahim']",positif,1
579,698,2023,"Yang mau beli folowers permanen, boleh cek bio",beli folowers permanen cek bio,"['beli', 'folowers', 'permanen', 'cek', 'bio']",negatif,-2
580,700,2023,Mauuu dong di cat juga rambut nyaaaa,cat rambut nya,"['cat', 'rambut', 'nya']",netral,0
581,701,2023,Ini nih yang di tunggu",nih tunggu,"['nih', 'tunggu']",negatif,-1
582,702,2023,Tambah kacamata hitam jadi gojo,kacamata hitam gojo,"['kacamata', 'hitam', 'gojo']",negatif,-4
583,703,2023,Keren n gokil banget coy,keren n gila banget coy,"['keren', 'n', 'gila', 'banget', 'coy']",negatif,-1
584,704,2023,Kak liat DM aku,kak lihat dm,"['kak', 'lihat', 'dm']",positif,3
585,705,2023,"Albino boy , dapat rezeki gak ya panggil gitu ğ??",albino boy rezeki ya panggil wajah gembira dengan mata bahagia,"['albino', 'boy', 'rezeki', 'ya', 'panggil', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']",positif,5
586,706,2023,Mantap keren ganteng bang,mantap keren ganteng bang,"['mantap', 'keren', 'ganteng', 'bang']",positif,5
587,708,2023,"Kalau 100juta hadiah nya,  ya aku siap ngelakuin apa saja yg di suruh",juta hadiah nya ya suruh,"['juta', 'hadiah', 'nya', 'ya', 'suruh']",positif,1
588,709,2023,  Best hair studio!! servicenya gokill bagus banget ğ??,best hair studio servicenya gila bagus banget wajah senyum lebar mata hati,"['best', 'hair', 'studio', 'servicenya', 'gila', 'bagus', 'banget', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",negatif,-4
589,710,2023, .annisal ğ??®,annisal wajah dengan mulut buka,"['annisal', 'wajah', 'dengan', 'mulut', 'buka']",negatif,-1
590,711,2023,Warna PelangÄ± dong bÄ±ar proooo,warna pelangÄ± bÄ±ar pro,"['warna', 'pelangÄ±', 'bÄ±ar', 'pro']",netral,0
591,712,2023,Kaya ikan patin albino ci ğ??? !!,kayak ikan patin albino ci wajah senyum lebar dan keringat,"['kayak', 'ikan', 'patin', 'albino', 'ci', 'wajah', 'senyum', 'lebar', 'dan', 'keringat']",negatif,-2
592,713,2023,Mantul Kho warnanya ğ??ğ??,mantul kho warna wajah senyum lebar mata hati wajah senyum lebar mata hati,"['mantul', 'kho', 'warna', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",negatif,-2
593,714,2023,  mantull,mantul,['mantul'],netral,0
594,715,2023,ğ??¥ Kerennn warna nya ğ??¥ğ??¥ğ??ğ??ğ??¥,api keren warna nya api api tepuk tangan wajah senyum lebar mata hati api,"['api', 'keren', 'warna', 'nya', 'api', 'api', 'tepuk', 'tangan', 'wajah', 'senyum', 'lebar', 'mata', 'hati', 'api']",positif,8
595,717,2023,Mirip silver fang kakk bagus..udh follow kak bismillah ..sehatÂ²selalau kak lancr rezekinyaâ¤ï¸ğ??,silver fang kak bagus follow kak bismillah sehat lalau kak lancar rezeki hati merah wajah senyum lebar mata hati,"['silver', 'fang', 'kak', 'bagus', 'follow', 'kak', 'bismillah', 'sehat', 'lalau', 'kak', 'lancar', 'rezeki', 'hati', 'merah', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,10
596,718,2023,Tambah ganteng ya...ğ??,ganteng ya wajah senyum lebar mata hati,"['ganteng', 'ya', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",negatif,-1
597,719,2023,Mana tira nya huhu ko blm buat konten bareng,tira nya huhu konten bareng,"['tira', 'nya', 'huhu', 'konten', 'bareng']",netral,0
598,720,2023,Keren bos.,keren bos,"['keren', 'bos']",positif,3
599,722,2023,"#7UNOSAYANGKAMU ğ??ğ?¤?â¤ï¸

Hai kak  Thank you so much for coming! We hope you enjoyed your time at 7UNO HAIR ğ??? SEE YOU NEXT TREATMENT kak ğ?¤?

Thank you",lipat tangan wajah peluk hati merah hai kak thank you sok much for coming we hope you enjoyed your time at uno hair hati kuning you next treatment kak wajah peluk thank you,"['lipat', 'tangan', 'wajah', 'peluk', 'hati', 'merah', 'hai', 'kak', 'thank', 'you', 'sok', 'much', 'for', 'coming', 'we', 'hope', 'you', 'enjoyed', 'your', 'time', 'at', 'uno', 'hair', 'hati', 'kuning', 'you', 'next', 'treatment', 'kak', 'wajah', 'peluk', 'thank', 'you']",negatif,-2
600,723,2023,Keren ğ??ğ??,keren tepuk tangan tepuk tangan,"['keren', 'tepuk', 'tangan', 'tepuk', 'tangan']",positif,2
601,724,2023,Kerennn habisss,keren habis,"['keren', 'habis']",netral,0
602,725,2023,SEKALIAN SAMA KOSTUMNYA BANG,kostum bang,"['kostum', 'bang']",netral,0
603,726,2023,Albino boy mau rezeki buat beli sembako  ,albino boy rezeki beli sembako,"['albino', 'boy', 'rezeki', 'beli', 'sembako']",positif,2
604,727,2023,Jadi mirip pak Ganjar,ganjar,['ganjar'],positif,2
605,728,2023,cial boy (rici albino),cial boy rici albino,"['cial', 'boy', 'rici', 'albino']",netral,0
606,729,2023,Udh follow lengkap nih bang dpet apa ğ???ğ???ğ?»,follow lengkap nih bang dpet wajah senyum lebar dan keringat angkat tangan warna kulit cerah,"['follow', 'lengkap', 'nih', 'bang', 'dpet', 'wajah', 'senyum', 'lebar', 'dan', 'keringat', 'angkat', 'tangan', 'warna', 'kulit', 'cerah']",positif,4
607,730,2023,Ganteng rambut nya hehehe.. Oiya bagi donk HP iPhone purple,ganteng rambut nya hehehe oiya hp iphone purple,"['ganteng', 'rambut', 'nya', 'hehehe', 'oiya', 'hp', 'iphone', 'purple']",netral,0
608,731,2023,ğ???pertam komen dpt apa ğ???,angkat tangan tam komen wajah gembira urai air mata,"['angkat', 'tangan', 'tam', 'komen', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,3
609,732,2023,Wili Karo vilme cocok banget Yo seng Podo mencet sampeng ğ???ğ???ğ???ğ???,wili karo vilme cocok banget ya seng podo mencet sampeng angkat tangan angkat tangan angkat tangan angkat tangan,"['wili', 'karo', 'vilme', 'cocok', 'banget', 'ya', 'seng', 'podo', 'mencet', 'sampeng', 'angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan', 'angkat', 'tangan']",positif,17
610,733,2023,Iyh tu,iya,['iya'],netral,0
611,734,2023,Kak Vilmei lebih cocok sma kak willie,kak vilmei cocok kak willie,"['kak', 'vilmei', 'cocok', 'kak', 'willie']",positif,1
612,735,2023,Sebenarnya Richie itu siapa yak kok ikutan aja,richie ya ikut,"['richie', 'ya', 'ikut']",negatif,-3
613,739,2023,Kepadang sekali kali bg,padang kali bang,"['padang', 'kali', 'bang']",netral,0
614,740,2023,Bandel lu cemana cii mass,bandel lu cemana ci mas,"['bandel', 'lu', 'cemana', 'ci', 'mas']",negatif,-5
615,742,2023,Kk knp tidak ada wilisalim,wilisalim,['wilisalim'],netral,0
616,743,2023,malah jadi kek cewe murah anj,kayak cewek murah anjing,"['kayak', 'cewek', 'murah', 'anjing']",negatif,-6
617,744,2023,"  ngotak lah anjir klo minta, emng dia bapak lu",ngotak anjir kalo lu,"['ngotak', 'anjir', 'kalo', 'lu']",negatif,-2
618,745,2023,Sok ganteng lu jembut monyet,sok ganteng lu jembut monyet,"['sok', 'ganteng', 'lu', 'jembut', 'monyet']",negatif,-3
619,747,2023,Kalo aku jadi   udah ku cekig mungkin  ,kalo ku cekig,"['kalo', 'ku', 'cekig']",netral,0
620,748,2023,Dari pada elu,lu,['lu'],netral,0
621,749,2023,Cocokan juga vilmei sama kak willy,cocok vilmei kak willy,"['cocok', 'vilmei', 'kak', 'willy']",positif,1
622,750,2023,Yg dukung kak vilmei sama kak willy salim pencet ya ğ???,dukung kak vilmei kak willy salim pencet ya tunjuk ke arah kanan,"['dukung', 'kak', 'vilmei', 'kak', 'willy', 'salim', 'pencet', 'ya', 'tunjuk', 'ke', 'arah', 'kanan']",positif,3
623,751,2023,Kak   kok gk marah ci vilmei Deket sama riccienick,kak marah ci vilmei riccienick,"['kak', 'marah', 'ci', 'vilmei', 'riccienick']",negatif,-5
624,752,2023,Mau hp donk bg,hp bang,"['hp', 'bang']",netral,0
625,754,2023,  untung lu mana,untung lu,"['untung', 'lu']",positif,2
626,756,2023,masih gantengan willie,ganteng willie,"['ganteng', 'willie']",netral,0
627,757,2023,  mukanya kaya cowok perebut pcr orang yağ???,muka kayak cowok rebut pcr orang ya wajah gembira urai air mata,"['muka', 'kayak', 'cowok', 'rebut', 'pcr', 'orang', 'ya', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-6
628,758,2023,Hati2 di pacarin kk    setia aj sm  ,hatihati pacarin setia,"['hatihati', 'pacarin', 'setia']",negatif,-4
629,759,2023,Rawwrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr wkwkkwkwk,rawwr wkwkkwkwk,"['rawwr', 'wkwkkwkwk']",netral,0
630,760,2023,Riccie semua cwk di gasğ???,riccie cwk gas wajah gembira urai air mata,"['riccie', 'cwk', 'gas', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-5
631,762,2023,Kak boleh jadi pacarnya gk,kak pacar,"['kak', 'pacar']",negatif,-1
632,764,2023,"  ko jdi dukung2 an si, lu kira pemilu",dukung an sih lu milu,"['dukung', 'an', 'sih', 'lu', 'milu']",positif,4
633,765,2023,Si paling bandel,sih bandel,"['sih', 'bandel']",negatif,-5
634,766,2023,Jgn diambil woy ci vilmei punya willie,ambil woy ci vilmei willie,"['ambil', 'woy', 'ci', 'vilmei', 'willie']",negatif,-5
635,767,2023,aaawww bandel bangeet,aaw bandel banget,"['aaw', 'bandel', 'banget']",negatif,-5
636,769,2023,  ayy ayyğ???ğ???ğ???,ay ay wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata,"['ay', 'ay', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-3
637,770,2023,Semoga vilmei Ama Willi Salim cocok ga tergoda Ama si main ceweğ???,moga vilmei willi salim cocok goda sih main cewek wajah gembira urai air mata,"['moga', 'vilmei', 'willi', 'salim', 'cocok', 'goda', 'sih', 'main', 'cewek', 'wajah', 'gembira', 'urai', 'air', 'mata']",positif,4
638,771,2023,Rambut kesetrum,rambut setrum,"['rambut', 'setrum']",netral,0
639,772,2023,Aku dukung vilmei sama willie,dukung vilmei willie,"['dukung', 'vilmei', 'willie']",positif,4
640,773,2023,  ngemis,ngemis,['ngemis'],netral,0
641,774,2023,Ritol Ricci kontol,ritol ricci kontol,"['ritol', 'ricci', 'kontol']",negatif,-5
642,775,2023,Iya mau muntah,iya muntah,"['iya', 'muntah']",negatif,-3
643,776,2023,"  si ricie nih emg agak laen,liatin cwe org kek gt lgğ?¤®",sih ricie nih lihat cewek orang kayak wajah muntah,"['sih', 'ricie', 'nih', 'lihat', 'cewek', 'orang', 'kayak', 'wajah', 'muntah']",negatif,-3
644,777,2023,Bang kamu kok bikin saya ketawa terus Sampek beru,bang bikin ketawa beru,"['bang', 'bikin', 'ketawa', 'beru']",positif,4
645,778,2023,Kesetrum listrik,setrum listrik,"['setrum', 'listrik']",netral,0
646,779,2023,Kasian Willie kalo vilmei diambilğ??¢,kasihan willie kalo vilmei ambil wajah menang,"['kasihan', 'willie', 'kalo', 'vilmei', 'ambil', 'wajah', 'menang']",negatif,-5
647,780,2023,Kak ricc liat vilmie Mulu cog ap elu liat vilmie punya itu?ğ??¿ihh udh punya pcr bnyk juga eeewww Hti hti kak Willie nnti di culik vilmie ya,kak ric lihat vilmie mulu cog lu lihat vilmie moa ih pcr eew hti hti kak willie culik vilmie ya,"['kak', 'ric', 'lihat', 'vilmie', 'mulu', 'cog', 'lu', 'lihat', 'vilmie', 'moa', 'ih', 'pcr', 'eew', 'hti', 'hti', 'kak', 'willie', 'culik', 'vilmie', 'ya']",positif,5
648,781,2023,Maksud riccie apa sihhhhhğ??­ğ??­ğ??­,maksud riccie sih wajah menang keras wajah menang keras wajah menang keras,"['maksud', 'riccie', 'sih', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras']",negatif,-1
649,782,2023,  sukanya sama   ğ??,suka wajah senyum lebar mata hati,"['suka', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",positif,1
650,784,2023,  apalah Cok gak ngerti lagi gw,apa cok erti gue,"['apa', 'cok', 'erti', 'gue']",negatif,-3
651,785,2023,Kak willy ganteng parah ğ??®,kak willy ganteng parah wajah dengan mulut buka,"['kak', 'willy', 'ganteng', 'parah', 'wajah', 'dengan', 'mulut', 'buka']",negatif,-6
652,787,2023,hati hati kak Willy nantik diambil vilmey ya,hati hati kak willy ambil vilmey ya,"['hati', 'hati', 'kak', 'willy', 'ambil', 'vilmey', 'ya']",negatif,-5
653,788,2023,Hati hati ka willie nanti velmei di curi,hati hati kak willie velmei curi,"['hati', 'hati', 'kak', 'willie', 'velmei', 'curi']",negatif,-5
654,789,2023,Yang dukung magic 5 kumpul,dukung magic kumpul,"['dukung', 'magic', 'kumpul']",positif,4
655,791,2023,Rambut lu kek kesetrum bg,rambut lu kayak setrum bang,"['rambut', 'lu', 'kayak', 'setrum', 'bang']",negatif,-3
656,792,2023,Jadiin vilmei pacar lu bgğ???,jadi vilmei pacar lu bang wajah gembira urai air mata,"['jadi', 'vilmei', 'pacar', 'lu', 'bang', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-3
657,793,2023,Mirip artis thailand namanya phan that,artis thailand nama phan that,"['artis', 'thailand', 'nama', 'phan', 'that']",positif,2
658,795,2023,Duo maut 1 bidadari,duo maut bidadari,"['duo', 'maut', 'bidadari']",positif,4
659,796,2023,Aku dukung vilmei,dukung vilmei,"['dukung', 'vilmei']",positif,4
660,797,2023,Tampilannya mafia abisss,tampil mafia habis,"['tampil', 'mafia', 'habis']",negatif,-7
661,798,2023,Jangan SE enak nya bg,enak nya bang,"['enak', 'nya', 'bang']",positif,1
662,799,2023,IH CI VILMEI CANTIK BANGETTTTâ¤ï¸ğ??,ih ci vilmei cantik banget hati merah wajah senyum lebar mata hati,"['ih', 'ci', 'vilmei', 'cantik', 'banget', 'hati', 'merah', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",negatif,-2
663,800,2023,Kemaren mba sara sekarang vilmei ANCOKKK,kemarin mbak sara vilmei ancok,"['kemarin', 'mbak', 'sara', 'vilmei', 'ancok']",negatif,-3
664,801,2023,Jangan di ambil ya vilmei nyahğ?¤£ğ??¿,ambil ya vilmei nya tertawa terbahakbahak moa,"['ambil', 'ya', 'vilmei', 'nya', 'tertawa', 'terbahakbahak', 'moa']",netral,0
665,802,2023,Idih riccienick udh mulai ganjen tuh ke ci vilmie,idih riccienick ganjen tuh ci vilmie,"['idih', 'riccienick', 'ganjen', 'tuh', 'ci', 'vilmie']",negatif,-3
666,803,2023,Kak give motor dong buat sekolah aku ğ??¢,kak give motor sekolah wajah menang,"['kak', 'give', 'motor', 'sekolah', 'wajah', 'menang']",positif,2
667,804,2023,buatin film series nya pleaseeeğ??¥ğ??¥ğ??¢ğ???,film series nya please api api wajah menang angkat tangan,"['film', 'series', 'nya', 'please', 'api', 'api', 'wajah', 'menang', 'angkat', 'tangan']",positif,4
668,805,2023,"geng badass sih ini,, auto inget the heirsğ??¥",geng badas sih auto the heirs api,"['geng', 'badas', 'sih', 'auto', 'the', 'heirs', 'api']",positif,2
669,806,2023,Seribu tampolan kalo pacarin vilmei,ribu tampolan kalo pacarin vilmei,"['ribu', 'tampolan', 'kalo', 'pacarin', 'vilmei']",netral,0
670,807,2023,Gmana bng ricc vilmei udah pnya wlie,bang ric vilmei wlie,"['bang', 'ric', 'vilmei', 'wlie']",netral,0
671,808,2023,Bayangin klo pas malem" di kejar riccie ğ???,bayang kalo pas malam kejar riccie tengkorak,"['bayang', 'kalo', 'pas', 'malam', 'kejar', 'riccie', 'tengkorak']",positif,1
672,809,2023,Jngn sampe riccie suka sama vilmeiğ??­ğ??­ğ??­,riccie suka vilmei wajah menang keras wajah menang keras wajah menang keras,"['riccie', 'suka', 'vilmei', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras']",negatif,-1
673,810,2023,Gantenggan willie lah,gantenggan willie,"['gantenggan', 'willie']",netral,0
674,811,2023,  apa faedah nya?,faedah nya,"['faedah', 'nya']",positif,3
675,813,2023,Ihhhhhh riciee gatel bngt ğ?¤¢ğ?¤¢ğ?¤¢ğ?¤¢ğ?¤¢ğ?¤¢ğ?¤¢ğ?¤¢ğ?¤¢ğ?¤¢,ih ricie gatel banget mual mual mual mual mual mual mual mual mual mual,"['ih', 'ricie', 'gatel', 'banget', 'mual', 'mual', 'mual', 'mual', 'mual', 'mual', 'mual', 'mual', 'mual', 'mual']",negatif,-53
676,815,2023,brengsek amat jd lanang,brengsek lanang,"['brengsek', 'lanang']",negatif,-5
677,816,2023,"Bang riccie , VILMEI UDAH PUNYA WILLIE",bang riccie vilmei willie,"['bang', 'riccie', 'vilmei', 'willie']",netral,0
678,817,2023,Wili cantik juga ya,wili cantik ya,"['wili', 'cantik', 'ya']",negatif,-2
679,818,2023,Semua cakep,cakep,['cakep'],positif,4
680,819,2023,KK Willie cantik g siihhğ??­ğ?¤£ğ?¤£,willie cantik sih wajah menang keras tertawa terbahakbahak tertawa terbahakbahak,"['willie', 'cantik', 'sih', 'wajah', 'menang', 'keras', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,7
681,820,2023,  ngemisÂ² btingg,ngemis bting,"['ngemis', 'bting']",netral,0
682,821,2023,Goku dark sistem,goku dark sistem,"['goku', 'dark', 'sistem']",negatif,-4
683,823,2023,gitu banget latin  ci vilmei,banget latin ci vilmei,"['banget', 'latin', 'ci', 'vilmei']",netral,0
684,824,2023,Starboy pun terdiam sejenak,starboy diam,"['starboy', 'diam']",negatif,-2
685,825,2023,mungkin dalam hatinya *cantik juga ya kalo jomblo gue jadiin pacarğ???*,hati cantik ya kalo jomblo gue jadi pacar wajah gembira urai air mata,"['hati', 'cantik', 'ya', 'kalo', 'jomblo', 'gue', 'jadi', 'pacar', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-7
686,826,2023,  ğ??¢,wajah menang,"['wajah', 'menang']",negatif,-1
687,827,2023,Gue pilih Willie dan vilmei karna Willie setia sama vilmei,gue pilih willie vilmei willie setia vilmei,"['gue', 'pilih', 'willie', 'vilmei', 'willie', 'setia', 'vilmei']",negatif,-6
688,828,2023,riccienick naksir ya sama vilmei. udah punya pacar 20 lagi punya pacar 1 aja udah happy apa lagi 20,riccienick taksir ya vilmei pacar pacar happy,"['riccienick', 'taksir', 'ya', 'vilmei', 'pacar', 'pacar', 'happy']",positif,5
689,830,2023,Bang riccienick agamanya apa sih,bang riccienick agama sih,"['bang', 'riccienick', 'agama', 'sih']",negatif,-3
690,831,2023,Pick me bngt sih vilmei,pick me banget sih vilmei,"['pick', 'me', 'banget', 'sih', 'vilmei']",netral,0
691,834,2023,Bang   emang paling gokillllllll,bang gila,"['bang', 'gila']",negatif,-1
692,835,2023,Kemas pake zğ???,kemas pakai wajah gembira urai air mata,"['kemas', 'pakai', 'wajah', 'gembira', 'urai', 'air', 'mata']",netral,0
693,836,2023,Depo slot,depo slot,"['depo', 'slot']",netral,0
694,837,2023,Kapan ya bisa ketemu bang  ,ya ketemu bang,"['ya', 'ketemu', 'bang']",positif,1
695,838,2023,Bang Top up pin bang plis 3142184158,bang top up pin bang plis,"['bang', 'top', 'up', 'pin', 'bang', 'plis']",positif,5
696,839,2023,Panutan ku itu,panutan ku,"['panutan', 'ku']",netral,0
697,840,2023,Mantap bang,mantap bang,"['mantap', 'bang']",positif,5
698,841,2023,"Serius kemas pake z?
Kok beda banget Ama yg dulu ğ??­",serius kemas pakai beda banget wajah menang keras,"['serius', 'kemas', 'pakai', 'beda', 'banget', 'wajah', 'menang', 'keras']",negatif,-7
699,842,2023,Kalo gw mah auto mau Cok,kalo gue mah auto cok,"['kalo', 'gue', 'mah', 'auto', 'cok']",netral,0
700,846,2023,  wtf,wtf,['wtf'],netral,0
701,848,2023,G kuat liatny ngakakğ??­,kuat liatny akak wajah menang keras,"['kuat', 'liatny', 'akak', 'wajah', 'menang', 'keras']",negatif,-2
702,849,2023,  kerja,kerja,['kerja'],netral,0
703,850,2023,  KERJAAAA !!!!!,kerja,['kerja'],netral,0
704,851,2023,Kemas mah kalo celens Jagan di kasih dia malah ketagihanğ???,kemas mah kalo celens jagan kasih tagih wajah gembira urai air mata,"['kemas', 'mah', 'kalo', 'celens', 'jagan', 'kasih', 'tagih', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-2
705,852,2023,kemaz pakek z kalo s dingin,kemaz pakai kalo si dingin,"['kemaz', 'pakai', 'kalo', 'si', 'dingin']",positif,2
706,853,2023,kemas gk pakek z,kemas pakai,"['kemas', 'pakai']",positif,1
707,854,2023,Wah mantap banget kak ricie udah seneng banget liat nya juga walau bukan aku yang di kasih 1juta ituh tetep seneng liat KA ricie berbagi ğ??ğ??,mantap banget kak ricie senang banget lihat nya kasih juta senang lihat kak ricie bagi tepuk tangan tepuk tangan,"['mantap', 'banget', 'kak', 'ricie', 'senang', 'banget', 'lihat', 'nya', 'kasih', 'juta', 'senang', 'lihat', 'kak', 'ricie', 'bagi', 'tepuk', 'tangan', 'tepuk', 'tangan']",positif,16
708,855,2023,Terniat bngt sih  lebih mirip pacarnya cocokğ??¿,niat banget sih pacar cocok moa,"['niat', 'banget', 'sih', 'pacar', 'cocok', 'moa']",netral,0
709,856,2023,Bang bantu in gua buka modal usaha bang,bang bantu gua buka modal usaha bang,"['bang', 'bantu', 'gua', 'buka', 'modal', 'usaha', 'bang']",negatif,-5
710,857,2023,BG   ğ??­ğ??­ğ??­,bang wajah menang keras wajah menang keras wajah menang keras,"['bang', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras', 'wajah', 'menang', 'keras']",negatif,-3
711,858,2023,ngakak gue beb liat laki lu  ,akak gue beb lihat laki lu,"['akak', 'gue', 'beb', 'lihat', 'laki', 'lu']",positif,3
712,862,2023,So fun,sok fun,"['sok', 'fun']",netral,0
713,863,2023,  ya tuhan mau jugah aku di bantu dengan abang,ya tuhan jugah bantu abang,"['ya', 'tuhan', 'jugah', 'bantu', 'abang']",positif,2
715,865,2023,Kak bagi dong utk byr daftar ulang sekolah anak SMP sm beliin peralatan sekolah anak,kak byr daftar ulang sekolah anak belikan alat sekolah anak,"['kak', 'byr', 'daftar', 'ulang', 'sekolah', 'anak', 'belikan', 'alat', 'sekolah', 'anak']",positif,3
716,866,2023,Kemazzz emang bangke ğ?¤£ğ?¤£ğ?¤£,kemaz bangkai tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['kemaz', 'bangkai', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,11
717,867,2023,Mini bang ... Transferin aku dong bang berapa aja,mini bang transferin bang,"['mini', 'bang', 'transferin', 'bang']",netral,0
718,869,2023,"  ketemu saya doank bang, saya udah follow semua",ketemu doang bang follow,"['ketemu', 'doang', 'bang', 'follow']",positif,1
719,871,2023,Pdhl duitnya banyak tp demi sejuta dia rela.. ğ??¿,duit juta rela moa,"['duit', 'juta', 'rela', 'moa']",positif,4
720,872,2023,Bng bgi rejekinya buat beliin anak pampersğ??¢,bang rejekinya belikan anak pampers wajah menang,"['bang', 'rejekinya', 'belikan', 'anak', 'pampers', 'wajah', 'menang']",negatif,-2
721,874,2023,  wkkwkw alwas,wkkwkw alwas,"['wkkwkw', 'alwas']",netral,0
722,875,2023,Gillla parah lanjut  ,gilla parah,"['gilla', 'parah']",negatif,-5
723,878,2023,Mau bang richi ke depok dong bangğ??,bang richi depok bang lipat tangan,"['bang', 'richi', 'depok', 'bang', 'lipat', 'tangan']",positif,1
724,882,2023,anjir jadi nostalgila,anjir nostalgila,"['anjir', 'nostalgila']",negatif,-2
725,884,2023,"Aku dong ,mau nambah nambah biaya ke dapur",tambah tambah biaya dapur,"['tambah', 'tambah', 'biaya', 'dapur']",positif,6
726,885,2023,challenge nya yang normal ka kalau yang kagak normal mah dia kesenangan,challenge nya normal kak kagak normal mah senang,"['challenge', 'nya', 'normal', 'kak', 'kagak', 'normal', 'mah', 'senang']",positif,2
727,886,2023,Bang bantu saya bang ....,bang bantu bang,"['bang', 'bantu', 'bang']",negatif,-1
728,887,2023,Aku kekeh Dy bilang kancingin dong sambil nunggingğ?¤£ğ?¤£ğ?¤£ğ?¤£,kekeh bilang kancingin nungging tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak tertawa terbahakbahak,"['kekeh', 'bilang', 'kancingin', 'nungging', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak', 'tertawa', 'terbahakbahak']",positif,20
729,889,2023,Pertama bng,bang,['bang'],netral,0
730,890,2023,Boleh kakak....,kakak,['kakak'],netral,0
731,891,2023,Anjaaay kumaaatğ???,anjaay kumaat wajah gembira urai air mata,"['anjaay', 'kumaat', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-1
732,892,2023,ğ???ğ???ğ???ğ???gokil wkwkwkwk,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata gila wkwkwkwk,"['wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'wajah', 'gembira', 'urai', 'air', 'mata', 'gila', 'wkwkwkwk']",negatif,-5
733,895,2023,  mental nya gedeğ???,mental nya gede wajah gembira urai air mata,"['mental', 'nya', 'gede', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-1
734,896,2023,Manusia paling PD   selalu  gokil lu taekğ???,manusia gila lu tahi wajah gembira urai air mata,"['manusia', 'gila', 'lu', 'tahi', 'wajah', 'gembira', 'urai', 'air', 'mata']",negatif,-4
735,897,2023,Mongkupap bang! Mongkupap,mongkupap bang mongkupap,"['mongkupap', 'bang', 'mongkupap']",netral,0
736,898,2023,  ğ?¤¨ğ??¸,wajah dengan alis angkat kamera dengan flash,"['wajah', 'dengan', 'alis', 'angkat', 'kamera', 'dengan', 'flash']",positif,3
